businessName,contactName,phone,city,state,businessType,score,address
State Farm Insurance: Ann Lin,,+16107225577,,NJ,insurance agency,90,NJ
Allstate,,+12153603700,Hatboro,PA,insurance agency,90,"979 West County Line Road, Hatboro, PA"
King Street Hair,,+14843288962,Malvern,PA,hair salon,80,"129 West King Street, Malvern, PA"
Deptford Cuts and Color s,,+18562272331,Deptford,NJ,nail salon,80,"1395 Cooper Street, Deptford, NJ"
Surfs Up Salon,,+18562457094,Deptford,NJ,nail salon,80,"1526 Hurffville Rd, Deptford, NJ"
Gamble's Newark Florist,,+13023661211,Newark,DE,florist,80,"257 East Main Street, Newark, DE"
Garcia Family Roofing,,+18626401440,Mount Holly,NJ,roofing contractor,80,"1623 State Route 38, Mount Holly, NJ"
