businessName,contactName,phone,city,state,businessType,score,address
State Farm Insurance: Ann Lin,,+16107225577,,NJ,insurance agency,90,NJ
Allstate,,+12153603700,Hatboro,PA,insurance agency,90,"979 West County Line Road, Hatboro, PA"
Ufberg Dental P.C.,,+16102512227,,NJ,dentist,90,NJ
Bear-Glasgow Dental,,+13028863750,,NJ,dentist,90,"1102 Pulaski Highway, NJ"
Franklinville Family Dentistry,,+18566945555,Franklinville,NJ,dentist,90,"2005 Delsea Drive, Franklinville, NJ"
Pete's Auto Service,,+16102963655,,NJ,auto repair shop,80,"202 East King Street, NJ"
Exton Collision,,+16103633555,,NJ,auto repair shop,80,"390, NJ"
King Street Hair,,+14843288962,Malvern,PA,hair salon,80,"129 West King Street, Malvern, PA"
Deptford Cuts and Color s,,+18562272331,Deptford,NJ,nail salon,80,"1395 Cooper Street, Deptford, NJ"
Surfs Up Salon,,+18562457094,Deptford,NJ,nail salon,80,"1526 Hurffville Rd, Deptford, NJ"
"Joseph Hart, Inc. Plumbing",,+18566244173,,NJ,plumber,80,"1140 US Highway 40, NJ"
Ritetax FInancial,,+12679696871,Philadelphia,PA,tax preparer,80,"4920 Baltimore Avenue, Philadelphia, PA"
Liberty Tax,,+12672824690,Hatboro,PA,tax preparer,80,"985 West County Line Road, Hatboro, PA"
Garcia Family Roofing,,+18626401440,Mount Holly,NJ,roofing contractor,80,"1623 State Route 38, Mount Holly, NJ"
