businessName,contactName,phone,city,state,businessType,score,address
State Farm Insurance: Ann Lin,,+16107225577,,NJ,insurance agency,90,NJ
Allstate,,+12153603700,Hatboro,PA,insurance agency,90,"979 West County Line Road, Hatboro, PA"
Northpoint360,,+18884188107,Wayne,PA,real estate agent,90,"113 West Lancaster Avenue, Wayne, PA"
Volpe Real Estate,,+12155455414,Philadelphia,NJ,real estate agent,90,"701 South 20th Street, Philadelphia, NJ"
Ufberg Dental P.C.,,+16102512227,,NJ,dentist,90,NJ
Bear-Glasgow Dental,,+13028863750,,NJ,dentist,90,"1102 Pulaski Highway, NJ"
Franklinville Family Dentistry,,+18566945555,Franklinville,NJ,dentist,90,"2005 Delsea Drive, Franklinville, NJ"
King Street Hair,,+14843288962,Malvern,PA,hair salon,80,"129 West King Street, Malvern, PA"
Deptford Cuts and Color s,,+18562272331,Deptford,NJ,nail salon,80,"1395 Cooper Street, Deptford, NJ"
Surfs Up Salon,,+18562457094,Deptford,NJ,nail salon,80,"1526 Hurffville Rd, Deptford, NJ"
John's Tree Service,,+12154991344,Levittown,PA,landscaping,80,"161 Forsythia Drive South, Levittown, PA"
Bill Johnston Landscape Co.,,+12157840488,,NJ,landscaping,80,NJ
Bounce U,,+12157529728,Langhorne,NJ,daycare center,80,"2221 Cabot Boulevard West, Langhorne, NJ"
Ritetax FInancial,,+12679696871,Philadelphia,PA,tax preparer,80,"4920 Baltimore Avenue, Philadelphia, PA"
Liberty Tax,,+12672824690,Hatboro,PA,tax preparer,80,"985 West County Line Road, Hatboro, PA"
Gamble's Newark Florist,,+13023661211,Newark,DE,florist,80,"257 East Main Street, Newark, DE"
The UPS Store,,+12152222840,Philadelphia,PA,printing shop,80,"3720 Spruce Street, Philadelphia, PA"
Italo's Tailor Shop,,+13023668031,Newark,DE,alterations tailor,80,"64 East Main Street, Newark, DE"
Sunsilk Tailor,,+12152516925,,NJ,alterations tailor,80,NJ
Tino's Custom Tailoring & Dry Cleaning,,+16104495585,Havertown,PA,alterations tailor,80,"2407 West Darby Road, Havertown, PA"
Garcia Family Roofing,,+18626401440,Mount Holly,NJ,roofing contractor,80,"1623 State Route 38, Mount Holly, NJ"
